,unpriv,priv,SUM
TP,5259.0,18847.0,24106.0
TN,76348.0,53136.0,129484.0
FP,1382.0,5634.0,7016.0
FN,5091.0,10463.0,15554.0
size,88080.0,88080.0,176160.0
accuracy_equality,0.9265099909173479,0.8172456857402361,1.743755676657584
opportunity_equality,0.5081159420289855,0.6430228590924599,1.1511388011214454
predictive_equality,0.017779493117200566,0.09586523736600307,0.11364473048320363
statistical_parity,0.07539736603088101,0.27794050862851954,0.3533378746594006
predictive_parity,0.7918988104201174,0.7698623422245823,1.5617611526446997
neg_predictive_parity,0.9374869534252631,0.8354848346672118,1.772971788092475
treatment equality,0.03614569903025454,0.2685472720249976,0.30469297105525217
