,unpriv,priv,SUM
TP,6018.0,18366.0,24384.0
TN,73003.0,48535.0,121538.0
FP,4727.0,10235.0,14962.0
FN,4332.0,10944.0,15276.0
size,88080.0,88080.0,176160.0
accuracy_equality,0.8971503178928247,0.7595481380563125,1.6566984559491371
opportunity_equality,0.5814492753623188,0.6266120777891505,1.2080613531514692
predictive_equality,0.06081307088640164,0.17415347966649652,0.23496655055289817
statistical_parity,0.1219913714804723,0.32471616712079926,0.44670753860127155
predictive_parity,0.5600744532340624,0.6421453795321842,1.2022198327662466
neg_predictive_parity,0.9439839658628046,0.8160022865212933,1.759986252384098
treatment equality,0.1452943868130787,0.4664143356199756,0.6117087224330543
