,unpriv,priv,SUM
TP,5155.0,17546.0,22701.0
TN,75413.0,50877.0,126290.0
FP,2317.0,7893.0,10210.0
FN,5195.0,11764.0,16959.0
size,88080.0,88080.0,176160.0
accuracy_equality,0.9147138964577657,0.7768278837420527,1.6915417801998185
opportunity_equality,0.4980676328502415,0.5986352780620948,1.0967029109123363
predictive_equality,0.02980831081950341,0.1343032159264931,0.16411152674599652
statistical_parity,0.08483197093551317,0.2888169845594914,0.37364895549500454
predictive_parity,0.6899089935760171,0.689728369825858,1.379637363401875
neg_predictive_parity,0.9355523025009924,0.812199677527498,1.7477519800284904
treatment equality,0.05938710625252364,0.3346163939821075,0.39400350023463115
