,unpriv,priv,SUM
TP,5913.0,18153.0,24066.0
TN,75933.0,52615.0,128548.0
FP,1797.0,6155.0,7952.0
FN,4437.0,11157.0,15594.0
size,88080.0,88080.0,176160.0
accuracy_equality,0.9292234332425068,0.8034514078110808,1.7326748410535875
opportunity_equality,0.571304347826087,0.6193449334698056,1.1906492812958924
predictive_equality,0.0231184870706291,0.10473030457716521,0.1278487916477943
statistical_parity,0.08753405994550409,0.2759763851044505,0.36351044504995456
predictive_parity,0.7669260700389106,0.7467911798584828,1.5137172498973932
neg_predictive_parity,0.9447928331466965,0.8250486106755316,1.769841443822228
treatment equality,0.053927505337167274,0.27513177620836354,0.3290592815455308
