,unpriv,priv,SUM
TP,5267.0,17411.0,22678.0
TN,76410.0,53950.0,130360.0
FP,1320.0,4820.0,6140.0
FN,5083.0,11899.0,16982.0
size,88080.0,88080.0,176160.0
accuracy_equality,0.9273047229791099,0.8101839237057221,1.737488646684832
opportunity_equality,0.5088888888888888,0.594029341521665,1.1029182304105538
predictive_equality,0.016981860285604014,0.08201463331631785,0.09899649360192186
statistical_parity,0.07478428701180745,0.2523955495004541,0.32717983651226157
predictive_parity,0.7996052831334447,0.7831856416715397,1.5827909248049843
neg_predictive_parity,0.9376265446111935,0.8192986985375632,1.7569252431487568
treatment equality,0.03457844854534754,0.20202108601573882,0.23659953456108634
