,unpriv,priv,SUM
TP,5980.0,19467.0,25447.0
TN,75909.0,53353.0,129262.0
FP,1821.0,5417.0,7238.0
FN,4370.0,9843.0,14213.0
size,88080.0,88080.0,176160.0
accuracy_equality,0.9297116257947321,0.8267484105358764,1.7564600363306084
opportunity_equality,0.5777777777777777,0.6641760491299897,1.2419538269077675
predictive_equality,0.02342724816673099,0.09217287731835971,0.1156001254850907
statistical_parity,0.08856721162579473,0.2825158946412352,0.37108310626702995
predictive_parity,0.7665683886681195,0.782309918019611,1.5488783066877305
neg_predictive_parity,0.9455648426113927,0.8442464712956517,1.7898113139070444
treatment equality,0.055485587763310244,0.27446784864382034,0.3299534364071306
