,unpriv,priv,SUM
TP,5026.0,6202.0,11228.0
TN,53567.0,50674.0,104241.0
FP,1963.0,2726.0,4689.0
FN,10664.0,11618.0,22282.0
size,71220.0,71220.0,142440.0
accuracy_equality,0.822704296545914,0.798595900028082,1.621300196573996
opportunity_equality,0.32033142128744424,0.3480359147025814,0.6683673359900256
predictive_equality,0.03535026112011525,0.051048689138576776,0.08639895025869203
statistical_parity,0.09813254703734905,0.12535804549283908,0.22349059253018813
predictive_parity,0.7191300615252539,0.694668458781362,1.413798520306616
neg_predictive_parity,0.8339742491943143,0.8134912990432158,1.64746554823753
treatment equality,0.05201102747323783,0.07829984854961596,0.1303108760228538
