,unpriv,priv,SUM
TP,1450.0,2700.0,4150.0
TN,54792.0,52050.0,106842.0
FP,738.0,1350.0,2088.0
FN,14240.0,15120.0,29360.0
size,71220.0,71220.0,142440.0
accuracy_equality,0.7896939062061219,0.7687447346251053,1.5584386408312272
opportunity_equality,0.09241555130656469,0.15151515151515152,0.2439307028217162
predictive_equality,0.013290113452188007,0.025280898876404494,0.0385710123285925
statistical_parity,0.03072170738556585,0.05686604886267902,0.08758775624824487
predictive_parity,0.6627056672760512,0.6666666666666666,1.3293723339427177
neg_predictive_parity,0.793718855023757,0.7748995087092452,1.5686183637330022
treatment equality,0.014643390453990858,0.029795345104333865,0.04443873555832473
