,unpriv,priv,SUM
TP,5128.0,5996.0,11124.0
TN,51512.0,49062.0,100574.0
FP,4018.0,4338.0,8356.0
FN,10562.0,11824.0,22386.0
size,71220.0,71220.0,142440.0
accuracy_equality,0.7952822240943556,0.7730693625386128,1.5683515866329683
opportunity_equality,0.3268323773103888,0.33647586980920313,0.6633082471195919
predictive_equality,0.07235728435080137,0.08123595505617978,0.15359323940698116
statistical_parity,0.12841898343162034,0.1450996910980062,0.2735186745296265
predictive_parity,0.5606822654712442,0.580220630927037,1.1409028963982812
neg_predictive_parity,0.8298482456422979,0.805801005157179,1.6356492507994769
treatment equality,0.10748776666010922,0.12243104863845769,0.2299188152985669
