,unpriv,priv,SUM
TP,5365.0,6406.0,11771.0
TN,52931.0,50257.0,103188.0
FP,2599.0,3143.0,5742.0
FN,10325.0,11414.0,21739.0
size,71220.0,71220.0,142440.0
accuracy_equality,0.8185341196293177,0.7956051670878966,1.6141392867172142
opportunity_equality,0.3419375398342894,0.3594837261503928,0.7014212659846821
predictive_equality,0.04680352962362687,0.058857677902621724,0.1056612075262486
statistical_parity,0.11182252176354956,0.13407750631844986,0.24590002808199943
predictive_parity,0.6736564540431944,0.6708555869724578,1.3445120410156521
neg_predictive_parity,0.8367743771341849,0.8149211136514731,1.651695490785658
treatment equality,0.07112323290989885,0.09189099528865596,0.16301422819855482
