,unpriv,priv,SUM
TP,5053.0,5916.0,10969.0
TN,53719.0,51222.0,104941.0
FP,1811.0,2178.0,3989.0
FN,10637.0,11904.0,22541.0
size,71220.0,71220.0,142440.0
accuracy_equality,0.8252176354956473,0.8022746419545072,1.6274922774501546
opportunity_equality,0.3220522625876354,0.331986531986532,0.6540387945741675
predictive_equality,0.032613001980911216,0.040786516853932586,0.0733995188348438
statistical_parity,0.09637742207245156,0.11364785172704296,0.21002527379949454
predictive_parity,0.7361596736596736,0.7309117865085248,1.4670714601681984
neg_predictive_parity,0.8347162657716453,0.8114247695086019,1.6461410352802472
treatment equality,0.048105480970245085,0.06105642895976803,0.10916190993001312
