,unpriv,priv,SUM
TP,144.0,196.0,340.0
TN,357.0,189.0,546.0
FP,33.0,51.0,84.0
FN,36.0,134.0,170.0
size,570.0,570.0,1140.0
accuracy_equality,0.8789473684210526,0.6754385964912281,1.5543859649122806
opportunity_equality,0.8,0.593939393939394,1.393939393939394
predictive_equality,0.08461538461538462,0.2125,0.2971153846153846
statistical_parity,0.3105263157894737,0.43333333333333335,0.7438596491228071
predictive_parity,0.8135593220338984,0.7935222672064778,1.607081589240376
neg_predictive_parity,0.9083969465648855,0.5851393188854489,1.4935362654503344
treatment equality,0.4230769230769231,0.523320895522388,0.9463978185993112
