,unpriv,priv,SUM
TP,151.0,231.0,382.0
TN,298.0,183.0,481.0
FP,92.0,57.0,149.0
FN,29.0,99.0,128.0
size,570.0,570.0,1140.0
accuracy_equality,0.787719298245614,0.7263157894736842,1.5140350877192983
opportunity_equality,0.8388888888888889,0.7,1.5388888888888888
predictive_equality,0.2358974358974359,0.2375,0.4733974358974359
statistical_parity,0.4263157894736842,0.5052631578947369,0.9315789473684211
predictive_parity,0.6213991769547325,0.8020833333333334,1.423482510288066
neg_predictive_parity,0.9113149847094801,0.648936170212766,1.5602511549222462
treatment equality,1.4641909814323606,0.7916666666666666,2.255857648099027
