,unpriv,priv,SUM
TP,173.0,229.0,402.0
TN,332.0,165.0,497.0
FP,58.0,75.0,133.0
FN,7.0,101.0,108.0
size,570.0,570.0,1140.0
accuracy_equality,0.8859649122807017,0.6912280701754386,1.5771929824561404
opportunity_equality,0.9611111111111111,0.693939393939394,1.655050505050505
predictive_equality,0.14871794871794872,0.3125,0.46121794871794874
statistical_parity,0.4052631578947368,0.5333333333333333,0.9385964912280702
predictive_parity,0.7489177489177489,0.7532894736842105,1.5022072226019594
neg_predictive_parity,0.9793510324483776,0.6203007518796992,1.5996517843280769
treatment equality,3.824175824175824,1.0210396039603962,4.84521542813622
