,unpriv,priv,SUM
TP,170.0,229.0,399.0
TN,386.0,201.0,587.0
FP,4.0,39.0,43.0
FN,10.0,101.0,111.0
size,570.0,570.0,1140.0
accuracy_equality,0.9754385964912281,0.7543859649122807,1.7298245614035088
opportunity_equality,0.9444444444444444,0.693939393939394,1.6383838383838385
predictive_equality,0.010256410256410256,0.1625,0.17275641025641025
statistical_parity,0.30526315789473685,0.47017543859649125,0.775438596491228
predictive_parity,0.9770114942528736,0.8544776119402985,1.831489106193172
neg_predictive_parity,0.9747474747474747,0.6655629139072847,1.6403103886547594
treatment equality,0.18461538461538463,0.530940594059406,0.7155559786747906
