,unpriv,priv,SUM
TP,180.0,227.0,407.0
TN,380.0,192.0,572.0
FP,10.0,48.0,58.0
FN,0.0,103.0,103.0
size,570.0,570.0,1140.0
accuracy_equality,0.9824561403508771,0.7350877192982456,1.7175438596491226
opportunity_equality,1.0,0.6878787878787879,1.687878787878788
predictive_equality,0.02564102564102564,0.2,0.22564102564102564
statistical_parity,0.3333333333333333,0.4824561403508772,0.8157894736842105
predictive_parity,0.9473684210526315,0.8254545454545454,1.772822966507177
neg_predictive_parity,1.0,0.6508474576271186,1.6508474576271186
treatment equality,0.0,0.6407766990291263,0.6407766990291263
