,unpriv,priv,SUM
TP,180.0,272.0,452.0
TN,345.0,197.0,542.0
FP,45.0,43.0,88.0
FN,0.0,58.0,58.0
size,570.0,570.0,1140.0
accuracy_equality,0.9210526315789473,0.8228070175438597,1.743859649122807
opportunity_equality,1.0,0.8242424242424242,1.8242424242424242
predictive_equality,0.11538461538461539,0.17916666666666667,0.29455128205128206
statistical_parity,0.39473684210526316,0.5526315789473685,0.9473684210526316
predictive_parity,0.8,0.8634920634920635,1.6634920634920636
neg_predictive_parity,1.0,0.7725490196078432,1.772549019607843
treatment equality,0.0,1.019396551724138,1.019396551724138
