,unpriv,priv,SUM
TP,178.0,263.0,441.0
TN,294.0,188.0,482.0
FP,96.0,52.0,148.0
FN,2.0,67.0,69.0
size,570.0,570.0,1140.0
accuracy_equality,0.8280701754385965,0.7912280701754386,1.619298245614035
opportunity_equality,0.9888888888888889,0.796969696969697,1.7858585858585858
predictive_equality,0.24615384615384617,0.21666666666666667,0.46282051282051284
statistical_parity,0.4807017543859649,0.5526315789473685,1.0333333333333334
predictive_parity,0.6496350364963503,0.834920634920635,1.4845556714169854
neg_predictive_parity,0.9932432432432432,0.7372549019607844,1.7304981452040276
treatment equality,22.153846153846153,1.0671641791044777,23.22101033295063
