,unpriv,priv,SUM
TP,158.0,183.0,341.0
TN,316.0,186.0,502.0
FP,74.0,84.0,158.0
FN,82.0,177.0,259.0
size,630.0,630.0,1260.0
accuracy_equality,0.7523809523809524,0.5857142857142857,1.3380952380952382
opportunity_equality,0.6583333333333333,0.5083333333333333,1.1666666666666665
predictive_equality,0.18974358974358974,0.3111111111111111,0.5008547008547009
statistical_parity,0.3682539682539683,0.4238095238095238,0.7920634920634921
predictive_parity,0.6810344827586207,0.6853932584269663,1.366427741185587
neg_predictive_parity,0.7939698492462312,0.512396694214876,1.3063665434611071
treatment equality,0.5553470919324578,0.632768361581921,1.1881154535143787
