,unpriv,priv,SUM
TP,46.0,165.0,211.0
TN,362.0,165.0,527.0
FP,28.0,105.0,133.0
FN,194.0,195.0,389.0
size,630.0,630.0,1260.0
accuracy_equality,0.6476190476190476,0.5238095238095238,1.1714285714285715
opportunity_equality,0.19166666666666668,0.4583333333333333,0.65
predictive_equality,0.07179487179487179,0.3888888888888889,0.4606837606837607
statistical_parity,0.11746031746031746,0.42857142857142855,0.546031746031746
predictive_parity,0.6216216216216216,0.6111111111111112,1.2327327327327327
neg_predictive_parity,0.6510791366906474,0.4583333333333333,1.1094124700239807
treatment equality,0.0888183980967486,0.7179487179487181,0.8067671160454667
