,unpriv,priv,SUM
TP,97.0,72.0,169.0
TN,381.0,232.0,613.0
FP,9.0,38.0,47.0
FN,143.0,288.0,431.0
size,630.0,630.0,1260.0
accuracy_equality,0.7587301587301587,0.48253968253968255,1.2412698412698413
opportunity_equality,0.4041666666666667,0.2,0.6041666666666667
predictive_equality,0.023076923076923078,0.14074074074074075,0.16381766381766383
statistical_parity,0.16825396825396827,0.1746031746031746,0.34285714285714286
predictive_parity,0.9150943396226415,0.6545454545454545,1.5696397941680962
neg_predictive_parity,0.7270992366412213,0.4461538461538462,1.1732530827950676
treatment equality,0.03873050026896181,0.17592592592592593,0.21465642619488773
