,unpriv,priv,SUM
TP,126.0,189.0,315.0
TN,358.0,227.0,585.0
FP,32.0,43.0,75.0
FN,114.0,171.0,285.0
size,630.0,630.0,1260.0
accuracy_equality,0.7682539682539683,0.6603174603174603,1.4285714285714286
opportunity_equality,0.525,0.525,1.05
predictive_equality,0.08205128205128205,0.15925925925925927,0.2413105413105413
statistical_parity,0.2507936507936508,0.3682539682539683,0.6190476190476191
predictive_parity,0.7974683544303798,0.8146551724137931,1.612123526844173
neg_predictive_parity,0.7584745762711864,0.5703517587939698,1.3288263350651563
treatment equality,0.1727395411605938,0.3352826510721248,0.5080221922327186
