,unpriv,priv,SUM
TP,80.0,117.0,197.0
TN,380.0,223.0,603.0
FP,10.0,47.0,57.0
FN,160.0,243.0,403.0
size,630.0,630.0,1260.0
accuracy_equality,0.7301587301587301,0.5396825396825397,1.2698412698412698
opportunity_equality,0.3333333333333333,0.325,0.6583333333333333
predictive_equality,0.02564102564102564,0.17407407407407408,0.1997150997150997
statistical_parity,0.14285714285714285,0.26031746031746034,0.4031746031746032
predictive_parity,0.8888888888888888,0.7134146341463414,1.6023035230352303
neg_predictive_parity,0.7037037037037037,0.47854077253218885,1.1822444762358926
treatment equality,0.038461538461538464,0.2578875171467764,0.2963490556083148
