,unpriv,priv,SUM
TP,311.0,153.0,464.0
TN,990.0,1175.0,2165.0
FP,300.0,325.0,625.0
FN,259.0,207.0,466.0
size,1860.0,1860.0,3720.0
accuracy_equality,0.6994623655913978,0.7139784946236559,1.4134408602150539
opportunity_equality,0.5456140350877193,0.425,0.9706140350877193
predictive_equality,0.23255813953488372,0.21666666666666667,0.44922480620155036
statistical_parity,0.328494623655914,0.256989247311828,0.5854838709677419
predictive_parity,0.5090016366612111,0.3200836820083682,0.8290853186695792
neg_predictive_parity,0.7926341072858286,0.8502170767004341,1.6428511839862627
treatment equality,0.5118074885516746,0.3768115942028986,0.8886190827545732
