,unpriv,priv,SUM
TP,290.0,142.0,432.0
TN,956.0,1152.0,2108.0
FP,334.0,348.0,682.0
FN,280.0,218.0,498.0
size,1860.0,1860.0,3720.0
accuracy_equality,0.6698924731182796,0.6956989247311828,1.3655913978494625
opportunity_equality,0.5087719298245614,0.39444444444444443,0.9032163742690058
predictive_equality,0.2589147286821705,0.232,0.49091472868217056
statistical_parity,0.33548387096774196,0.26344086021505375,0.5989247311827957
predictive_parity,0.46474358974358976,0.2897959183673469,0.7545395081109367
neg_predictive_parity,0.7734627831715211,0.8408759124087591,1.61433869558028
treatment equality,0.5270764119601329,0.3831192660550459,0.9101956780151788
