,unpriv,priv,SUM
TP,464.0,134.0,598.0
TN,438.0,964.0,1402.0
FP,852.0,536.0,1388.0
FN,106.0,226.0,332.0
size,1860.0,1860.0,3720.0
accuracy_equality,0.48494623655913977,0.5903225806451613,1.075268817204301
opportunity_equality,0.8140350877192982,0.37222222222222223,1.1862573099415203
predictive_equality,0.6604651162790698,0.35733333333333334,1.017798449612403
statistical_parity,0.7075268817204301,0.3602150537634409,1.067741935483871
predictive_parity,0.3525835866261398,0.2,0.5525835866261398
neg_predictive_parity,0.8051470588235294,0.8100840336134454,1.6152310924369748
treatment equality,3.5515577007459416,0.5692035398230089,4.12076124056895
