,unpriv,priv,SUM
TP,223.0,73.0,296.0
TN,1157.0,1357.0,2514.0
FP,133.0,143.0,276.0
FN,347.0,287.0,634.0
size,1860.0,1860.0,3720.0
accuracy_equality,0.7419354838709677,0.7688172043010753,1.510752688172043
opportunity_equality,0.3912280701754386,0.20277777777777778,0.5940058479532164
predictive_equality,0.10310077519379846,0.09533333333333334,0.19843410852713178
statistical_parity,0.1913978494623656,0.11612903225806452,0.30752688172043013
predictive_parity,0.6264044943820225,0.33796296296296297,0.9643674573449854
neg_predictive_parity,0.769281914893617,0.8254257907542579,1.594707705647875
treatment equality,0.16935862207626837,0.11958188153310105,0.2889405036093694
