,unpriv,priv,SUM
TP,250.0,91.0,341.0
TN,1130.0,1380.0,2510.0
FP,160.0,120.0,280.0
FN,320.0,269.0,589.0
size,1860.0,1860.0,3720.0
accuracy_equality,0.7419354838709677,0.7908602150537635,1.532795698924731
opportunity_equality,0.43859649122807015,0.25277777777777777,0.691374269005848
predictive_equality,0.12403100775193798,0.08,0.204031007751938
statistical_parity,0.22043010752688172,0.11344086021505376,0.3338709677419355
predictive_parity,0.6097560975609756,0.4312796208530806,1.0410357184140562
neg_predictive_parity,0.7793103448275862,0.8368708308065494,1.6161811756341358
treatment equality,0.22093023255813954,0.10706319702602231,0.32799342958416183
