,unpriv,priv,SUM
TP,165.0,51.0,216.0
TN,1217.0,1400.0,2617.0
FP,73.0,100.0,173.0
FN,405.0,309.0,714.0
size,1860.0,1860.0,3720.0
accuracy_equality,0.7430107526881721,0.7801075268817205,1.5231182795698925
opportunity_equality,0.2894736842105263,0.14166666666666666,0.431140350877193
predictive_equality,0.056589147286821705,0.06666666666666667,0.12325581395348836
statistical_parity,0.12795698924731183,0.08118279569892473,0.20913978494623656
predictive_parity,0.6932773109243697,0.33774834437086093,1.0310256552952306
neg_predictive_parity,0.750308261405672,0.8191925102399064,1.5695007716455782
treatment equality,0.07964398507034166,0.07766990291262137,0.15731388798296303
