,unpriv,priv,SUM
TP,267.0,162.0,429.0
TN,1047.0,1208.0,2255.0
FP,243.0,292.0,535.0
FN,303.0,198.0,501.0
size,1860.0,1860.0,3720.0
accuracy_equality,0.7064516129032258,0.7365591397849462,1.443010752688172
opportunity_equality,0.46842105263157896,0.45,0.918421052631579
predictive_equality,0.1883720930232558,0.19466666666666665,0.38303875968992246
statistical_parity,0.27419354838709675,0.24408602150537634,0.5182795698924731
predictive_parity,0.5235294117647059,0.3568281938325991,0.880357605597305
neg_predictive_parity,0.7755555555555556,0.8591749644381224,1.634730519993678
treatment equality,0.3543633433110753,0.3539393939393939,0.7083027372504691
