,unpriv,priv,SUM
TP,67.0,166.0,233.0
TN,210.0,64.0,274.0
FP,0.0,26.0,26.0
FN,23.0,44.0,67.0
size,300.0,300.0,600.0
accuracy_equality,0.9233333333333333,0.7666666666666667,1.69
opportunity_equality,0.7444444444444445,0.7904761904761904,1.5349206349206348
predictive_equality,0.0,0.28888888888888886,0.28888888888888886
statistical_parity,0.22333333333333333,0.64,0.8633333333333333
predictive_parity,1.0,0.8645833333333334,1.8645833333333335
neg_predictive_parity,0.9012875536480687,0.5925925925925926,1.4938801462406612
treatment equality,0.0,1.3787878787878787,1.3787878787878787
