,unpriv,priv,SUM
TP,67.0,166.0,233.0
TN,208.0,79.0,287.0
FP,2.0,11.0,13.0
FN,23.0,44.0,67.0
size,300.0,300.0,600.0
accuracy_equality,0.9166666666666666,0.8166666666666667,1.7333333333333334
opportunity_equality,0.7444444444444445,0.7904761904761904,1.5349206349206348
predictive_equality,0.009523809523809525,0.12222222222222222,0.13174603174603175
statistical_parity,0.23,0.59,0.82
predictive_parity,0.9710144927536232,0.9378531073446328,1.9088676000982558
neg_predictive_parity,0.9004329004329005,0.6422764227642277,1.542709323197128
treatment equality,0.03726708074534162,0.5833333333333333,0.6206004140786748
