,unpriv,priv,SUM
TP,50.0,202.0,252.0
TN,207.0,70.0,277.0
FP,3.0,20.0,23.0
FN,40.0,8.0,48.0
size,300.0,300.0,600.0
accuracy_equality,0.8566666666666667,0.9066666666666666,1.7633333333333332
opportunity_equality,0.5555555555555556,0.9619047619047619,1.5174603174603174
predictive_equality,0.014285714285714285,0.2222222222222222,0.2365079365079365
statistical_parity,0.17666666666666667,0.74,0.9166666666666666
predictive_parity,0.9433962264150944,0.9099099099099099,1.8533061363250043
neg_predictive_parity,0.8380566801619433,0.8974358974358975,1.735492577597841
treatment equality,0.03214285714285715,5.833333333333332,5.86547619047619
