,unpriv,priv,SUM
TP,41.0,169.0,210.0
TN,209.0,83.0,292.0
FP,1.0,7.0,8.0
FN,49.0,41.0,90.0
size,300.0,300.0,600.0
accuracy_equality,0.8333333333333334,0.84,1.6733333333333333
opportunity_equality,0.45555555555555555,0.8047619047619048,1.2603174603174603
predictive_equality,0.004761904761904762,0.07777777777777778,0.08253968253968254
statistical_parity,0.14,0.5866666666666667,0.7266666666666667
predictive_parity,0.9761904761904762,0.9602272727272727,1.9364177489177488
neg_predictive_parity,0.810077519379845,0.6693548387096774,1.4794323580895223
treatment equality,0.008746355685131197,0.3983739837398374,0.4071203394249686
