,unpriv,priv,SUM
TP,60.0,200.0,260.0
TN,209.0,77.0,286.0
FP,1.0,13.0,14.0
FN,30.0,10.0,40.0
size,300.0,300.0,600.0
accuracy_equality,0.8966666666666666,0.9233333333333333,1.8199999999999998
opportunity_equality,0.6666666666666666,0.9523809523809523,1.619047619047619
predictive_equality,0.004761904761904762,0.14444444444444443,0.1492063492063492
statistical_parity,0.20333333333333334,0.71,0.9133333333333333
predictive_parity,0.9836065573770492,0.9389671361502347,1.922573693527284
neg_predictive_parity,0.8744769874476988,0.8850574712643678,1.7595344587120665
treatment equality,0.014285714285714287,3.033333333333333,3.0476190476190474
