,unpriv,priv,SUM
TP,46.0,156.0,202.0
TN,210.0,65.0,275.0
FP,0.0,25.0,25.0
FN,44.0,54.0,98.0
size,300.0,300.0,600.0
accuracy_equality,0.8533333333333334,0.7366666666666667,1.59
opportunity_equality,0.5111111111111111,0.7428571428571429,1.253968253968254
predictive_equality,0.0,0.2777777777777778,0.2777777777777778
statistical_parity,0.15333333333333332,0.6033333333333334,0.7566666666666667
predictive_parity,1.0,0.861878453038674,1.861878453038674
neg_predictive_parity,0.8267716535433071,0.5462184873949579,1.372990140938265
treatment equality,0.0,1.080246913580247,1.080246913580247
