,unpriv,priv,SUM
TP,1390.0,1212.0,2602.0
TN,33.0,72.0,105.0
FP,147.0,168.0,315.0
FN,20.0,138.0,158.0
size,1590.0,1590.0,3180.0
accuracy_equality,0.8949685534591195,0.8075471698113208,1.7025157232704404
opportunity_equality,0.9858156028368794,0.8977777777777778,1.8835933806146572
predictive_equality,0.8166666666666667,0.7,1.5166666666666666
statistical_parity,0.9666666666666667,0.8679245283018868,1.8345911949685534
predictive_parity,0.904359141184125,0.8782608695652174,1.7826200107493424
neg_predictive_parity,0.6226415094339622,0.34285714285714286,0.9654986522911051
treatment equality,57.575,6.847826086956521,64.42282608695652
