,unpriv,priv,SUM
TP,1346.0,1186.0,2532.0
TN,56.0,79.0,135.0
FP,124.0,161.0,285.0
FN,64.0,164.0,228.0
size,1590.0,1590.0,3180.0
accuracy_equality,0.8817610062893082,0.7955974842767296,1.677358490566038
opportunity_equality,0.9546099290780142,0.8785185185185185,1.8331284475965326
predictive_equality,0.6888888888888889,0.6708333333333333,1.359722222222222
statistical_parity,0.9245283018867925,0.8471698113207548,1.771698113207547
predictive_parity,0.9156462585034013,0.8804751299183371,1.7961213884217384
neg_predictive_parity,0.4666666666666667,0.32510288065843623,0.791769547325103
treatment equality,15.177083333333332,5.522103658536585,20.699186991869915
