,unpriv,priv,SUM
TP,542.0,765.0,1307.0
TN,140.0,117.0,257.0
FP,40.0,123.0,163.0
FN,868.0,585.0,1453.0
size,1590.0,1590.0,3180.0
accuracy_equality,0.4289308176100629,0.5547169811320755,0.9836477987421384
opportunity_equality,0.3843971631205674,0.5666666666666667,0.951063829787234
predictive_equality,0.2222222222222222,0.5125,0.7347222222222222
statistical_parity,0.3660377358490566,0.5584905660377358,0.9245283018867925
predictive_parity,0.9312714776632303,0.8614864864864865,1.7927579641497169
neg_predictive_parity,0.1388888888888889,0.16666666666666666,0.3055555555555556
treatment equality,0.36098310291858676,1.1826923076923075,1.5436754106108943
