,unpriv,priv,SUM
TP,1405.0,1329.0,2734.0
TN,3.0,24.0,27.0
FP,177.0,216.0,393.0
FN,5.0,21.0,26.0
size,1590.0,1590.0,3180.0
accuracy_equality,0.8855345911949686,0.8509433962264151,1.7364779874213836
opportunity_equality,0.9964539007092199,0.9844444444444445,1.9808983451536644
predictive_equality,0.9833333333333333,0.9,1.8833333333333333
statistical_parity,0.9949685534591195,0.9716981132075472,1.9666666666666668
predictive_parity,0.8881163084702908,0.8601941747572815,1.7483104832275722
neg_predictive_parity,0.375,0.5333333333333333,0.9083333333333333
treatment equality,277.3,57.85714285714286,335.15714285714284
