,unpriv,priv,SUM
TP,1397.0,1292.0,2689.0
TN,8.0,34.0,42.0
FP,172.0,206.0,378.0
FN,13.0,58.0,71.0
size,1590.0,1590.0,3180.0
accuracy_equality,0.8836477987421384,0.8339622641509434,1.717610062893082
opportunity_equality,0.9907801418439717,0.957037037037037,1.9478171788810088
predictive_equality,0.9555555555555556,0.8583333333333333,1.8138888888888889
statistical_parity,0.9867924528301887,0.9421383647798742,1.928930817610063
predictive_parity,0.8903760356915232,0.8624833110814419,1.7528593467729652
neg_predictive_parity,0.38095238095238093,0.3695652173913043,0.7505175983436853
treatment equality,103.64102564102565,19.978448275862068,123.61947391688771
