,unpriv,priv,SUM
TP,1410.0,1347.0,2757.0
TN,9.0,11.0,20.0
FP,171.0,229.0,400.0
FN,0.0,3.0,3.0
size,1590.0,1590.0,3180.0
accuracy_equality,0.8924528301886793,0.8540880503144654,1.7465408805031446
opportunity_equality,1.0,0.9977777777777778,1.9977777777777779
predictive_equality,0.95,0.9541666666666667,1.9041666666666668
statistical_parity,0.9943396226415094,0.9911949685534591,1.9855345911949684
predictive_parity,0.8918406072106262,0.8546954314720813,1.7465360386827076
neg_predictive_parity,1.0,0.7857142857142857,1.7857142857142856
treatment equality,0.0,429.375,429.375
